TANGGAL,ISPU_PM2_5
9/6/2024,70
9/7/2024,76
9/8/2024,74
9/9/2024,62
9/10/2024,69
9/11/2024,76
9/12/2024,83
9/13/2024,76
9/14/2024,76
9/15/2024,74
9/16/2024,89
9/17/2024,78
9/18/2024,73
9/19/2024,78
9/20/2024,83
9/21/2024,89
9/22/2024,87.5
9/23/2024,86
9/24/2024,80
9/25/2024,82
9/26/2024,66
9/27/2024,67
9/28/2024,84
9/29/2024,75.5
9/30/2024,67
10/1/2024,102
10/2/2024,93
10/3/2024,82
10/4/2024,76
10/5/2024,71
10/6/2024,94
10/7/2024,117
10/8/2024,81
10/9/2024,79
10/10/2024,78.33
10/11/2024,77.67
10/12/2024,77
10/13/2024,76.33
10/14/2024,75.67
10/15/2024,75
10/16/2024,74.33
10/17/2024,73.67
10/18/2024,73
10/19/2024,95
10/20/2024,88
10/21/2024,81
10/22/2024,74
10/23/2024,74
10/24/2024,71
10/25/2024,68
10/26/2024,65
10/27/2024,77
10/28/2024,78.5
10/29/2024,80
10/30/2024,80
10/31/2024,80
11/1/2024,80
11/2/2024,86
11/3/2024,74
11/4/2024,67
11/5/2024,73
11/6/2024,62
11/7/2024,86
11/8/2024,85
11/9/2024,81
11/10/2024,74
11/11/2024,67
11/12/2024,60
11/13/2024,77
11/14/2024,107
11/15/2024,106
11/16/2024,92
11/17/2024,91
11/18/2024,72
11/19/2024,59
11/20/2024,52
11/21/2024,58
11/22/2024,64
11/23/2024,64
11/24/2024,59
11/25/2024,58
11/26/2024,62
11/27/2024,66
11/28/2024,59.5
11/29/2024,53
11/30/2024,75
12/1/2024,72
12/2/2024,54
12/3/2024,36
12/4/2024,39.29
12/5/2024,42.57
12/6/2024,45.86
12/7/2024,49.14
12/8/2024,52.43
12/9/2024,55.71
12/10/2024,59
12/11/2024,20
12/12/2024,43
12/13/2024,53
12/14/2024,54
12/15/2024,41
12/16/2024,52
12/17/2024,45
12/18/2024,69
12/19/2024,56
12/20/2024,51
12/21/2024,56
12/22/2024,61
12/23/2024,66
12/24/2024,71
12/25/2024,76
12/26/2024,81
12/27/2024,86
12/28/2024,77.5
12/29/2024,69
12/30/2024,60.5
12/31/2024,52
1/1/2025,78
