TANGGAL,ISPU_PM10,ISPU_PM2_5,ISPU_SO2,ISPU_CO,ISPU_O3,ISPU_NO2,STATUS_BY_PM10,STATUS_BY_PM2,STATUS_BY_SO2,STATUS_BY_CO,STATUS_BY_O3,STATUS_BY_NO2,OVERALL_ISPU_STATUS
4/1/2024,59,90,51,21,23,43,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
4/2/2024,60,84,52,18,33,39,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
4/3/2024,60,88,51,17,35,28,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
4/4/2024,48,70,52,23,20,57,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
4/5/2024,62,99,52,31,21,82,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
4/6/2024,62,92,52,21,16,68,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
4/7/2024,60,84,52,14,24,53,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
4/8/2024,,,,,,,,,,,,,
4/9/2024,,,,,,,,,,,,,
4/10/2024,,,,,,,,,,,,,
4/11/2024,28,58,55,11,12,49,BAIK,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
4/12/2024,34,59,54,8,15,38,BAIK,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
4/13/2024,35,61,55,18,12,53,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
4/14/2024,34,57,55,12,14,35,BAIK,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
4/15/2024,31,54,54,11,12,35,BAIK,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
4/16/2024,,,,,,,,,,,,,
4/17/2024,,,,,,,,,,,,,
4/18/2024,,,,,,,,,,,,,
4/19/2024,,,,,,,,,,,,,
4/20/2024,,,,,,,,,,,,,
4/21/2024,,,,,,,,,,,,,
4/22/2024,54,76,55,18,11,65,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
4/23/2024,58,81,54,15,13,55,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
4/24/2024,52,70,54,15,16,39,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
4/25/2024,,,,,,,,,,,,,
4/26/2024,41,63,54,10,14,31,BAIK,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
4/27/2024,50,64,54,16,11,66,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
4/28/2024,52,72,54,17,15,73,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
4/29/2024,56,75,54,11,15,52,SEDANG,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
4/30/2024,58,79,54,11,14,28,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/1/2024,58,73,54,9,14,24,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/2/2024,61,78,54,11,16,25,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/3/2024,61,77,54,12,16,26,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/4/2024,,,,,,,,,,,,,
5/5/2024,,,,,,,,,,,,,
5/6/2024,0,74,55,13,17,51,BAIK,SEDANG,SEDANG,BAIK,BAIK,SEDANG,SEDANG
5/7/2024,67,85,55,12,18,48,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/8/2024,72,94,55,14,19,34,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/9/2024,73,93,56,15,16,48,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/10/2024,66,83,55,9,16,42,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/11/2024,64,80,55,12,15,28,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/12/2024,67,81,55,16,11,49,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/13/2024,58,72,56,10,14,27,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/14/2024,65,74,55,14,13,29,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/15/2024,68,77,55,18,12,47,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/16/2024,69,88,55,12,17,39,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/17/2024,64,79,55,10,19,31,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/18/2024,60,74,56,12,16,38,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/19/2024,58,76,56,12,19,37,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
5/20/2024,71,86,56,15,18,42,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
