name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"-6.207349, 106.753187",8/20/2022,33,26,29.1,38.1,26,32.4,23,70.8,0.011,100,8.33,rain,0,0,27.7,31.7,94.8,1008.8,42.7,7.3,248.7,21.5,8,10,2022-08-20T05:58:36,2022-08-20T17:54:27,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/21/2022,32,24,28.4,37.9,24,31.3,22.9,72.8,6.416,100,8.33,rain,0,0,22.7,20.5,23.4,1009.3,52.9,7.4,213,18.5,8,10,2022-08-21T05:58:13,2022-08-21T17:54:22,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/22/2022,30.3,24,27,34.6,24,29.2,23.5,81.5,0,0,0,rain,0,0,23.4,15.3,305.1,1009.7,53.3,5.5,209.3,18.1,8,30,2022-08-22T05:57:49,2022-08-22T17:54:16,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/23/2022,33.1,25,28.9,37.3,25,31.7,23.3,73.4,0,0,0,rain,0,0,21.2,19.1,54.6,1009.4,46.3,5.2,258.8,22.3,9,30,2022-08-23T05:57:24,2022-08-23T17:54:09,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/24/2022,33,26,28.9,36.8,26,32,23.3,72.8,0.507,100,4.17,rain,0,0,19.1,22.3,55.6,1009.5,49.1,6.8,260.2,22.6,9,10,2022-08-24T05:57:00,2022-08-24T17:54:02,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/25/2022,33,26,28.9,35.9,26,31.3,22.1,67.6,0.059,100,4.17,rain,0,0,26.3,25.9,87.4,1009.2,50.3,7.4,261.1,22.5,9,10,2022-08-25T05:56:34,2022-08-25T17:53:55,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/26/2022,31.6,25,28.5,36.1,25,31,22.2,69.2,0.007,100,4.17,rain,0,0,24.5,13,324.3,1008.9,47,5.5,239.3,20.7,9,10,2022-08-26T05:56:09,2022-08-26T17:53:48,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96737099999,96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/27/2022,31,25,27.9,36.5,25,30.8,23.6,77.8,1.455,100,12.5,rain,0,0,24.1,18.4,309.6,1008.5,63.1,5.6,214.8,18.5,8,10,2022-08-27T05:55:42,2022-08-27T17:53:40,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/28/2022,30,25,27.2,35.6,25,29.7,23.9,82.4,2.535,100,8.33,rain,0,0,27.4,20.5,314.4,1008.7,59.8,5.4,213.3,18.5,8,10,2022-08-28T05:55:16,2022-08-28T17:53:32,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"-6.207349, 106.753187",8/29/2022,31.6,25,27.9,37.2,25,30.7,23.8,79.4,0.347,100,12.5,rain,0,0,18,16.6,322.5,1009,65.6,6.2,241.9,21,8,10,2022-08-29T05:54:49,2022-08-29T17:53:23,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/30/2022,32.4,25,28.5,38,25,31.5,23.2,74,0,0,0,rain,0,0,21.2,16.6,323.1,1008.9,48.3,6.5,241.3,20.8,8,10,2022-08-30T05:54:21,2022-08-30T17:53:14,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",8/31/2022,32.6,25,28.6,36.2,25,31.3,23.1,73.6,0.452,100,4.17,rain,0,0,27.7,20.1,74.7,1008.4,46.9,6.3,227.8,19.8,8,10,2022-08-31T05:53:53,2022-08-31T17:53:05,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"-6.207349, 106.753187",9/1/2022,32.4,26,28.7,37.9,26,32.4,23.8,75.6,2.571,100,8.33,rain,0,0,32.8,33.5,92.9,1008.9,49,6.4,218.7,18.9,8,30,2022-09-01T05:53:25,2022-09-01T17:52:56,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
