TANGGAL,ISPU_PM10,ISPU_PM2_5,ISPU_SO2,ISPU_CO,ISPU_O3,ISPU_NO2,STATUS_BY_PM10,STATUS_BY_PM2,STATUS_BY_SO2,STATUS_BY_CO,STATUS_BY_O3,STATUS_BY_NO2,OVERALL_ISPU_STATUS
2022-10-19,52.0,67.0,41.0,15.0,25.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-20,55.0,66.0,42.0,17.0,24.0,13.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-21,,,,,,,,,,,,,
2022-10-23,62.0,78.0,45.0,13.0,21.0,9.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-24,42.0,54.0,42.0,6.0,12.0,5.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-25,33.0,50.0,40.0,6.0,11.0,3.0,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK,BAIK
2022-10-27,,,,,,,,,,,,,
2022-10-28,,,,,,,,,,,,,
2022-10-29,46.0,59.0,44.0,6.0,26.0,7.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-10-31,43.0,54.0,42.0,6.0,30.0,7.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-01,49.0,66.0,48.0,8.0,31.0,12.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-02,56.0,69.0,47.0,8.0,35.0,10.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-03,56.0,65.0,46.0,10.0,34.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-04,53.0,95.0,48.0,12.0,27.0,11.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-05,50.0,82.0,47.0,13.0,27.0,12.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-06,,,,,,,,,,,,,
2022-11-07,,,,,,,,,,,,,
2022-11-08,,,,,,,,,,,,,
2022-11-09,42.0,77.0,47.0,13.0,19.0,11.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-10,46.0,78.0,48.0,10.0,14.0,7.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-12,31.0,62.0,46.0,9.0,19.0,7.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-13,40.0,64.0,47.0,9.0,20.0,7.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-14,46.0,72.0,47.0,12.0,26.0,11.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-15,64.0,104.0,47.0,21.0,25.0,15.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
2022-11-16,53.0,83.0,52.0,11.0,19.0,8.0,SEDANG,SEDANG,SEDANG,BAIK,BAIK,BAIK,SEDANG
2022-11-17,,,,,,,,,,,,,
2022-11-18,27.0,49.0,51.0,5.0,19.0,4.0,BAIK,BAIK,SEDANG,BAIK,BAIK,BAIK,SEDANG
2022-11-19,51.0,66.0,49.0,9.0,19.0,5.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-20,51.0,63.0,47.0,7.0,15.0,2.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-21,37.0,63.0,44.0,6.0,14.0,5.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-22,48.0,74.0,45.0,7.0,15.0,6.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-23,51.0,75.0,49.0,7.0,15.0,6.0,SEDANG,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-24,42.0,58.0,49.0,5.0,19.0,4.0,BAIK,SEDANG,BAIK,BAIK,BAIK,BAIK,SEDANG
2022-11-26,82.0,129.0,49.0,15.0,27.0,22.0,SEDANG,TIDAK SEHAT,BAIK,BAIK,BAIK,BAIK,TIDAK SEHAT
