datetime,station_name,ispu_pm25
4/7/2022,lubang_buaya,68.82
4/8/2022,bundaran_hi,56.84
4/8/2022,jagakarsa,65.89
4/8/2022,kebun_jeruk,66.74
4/8/2022,kelapa_gading,57.98
4/8/2022,lubang_buaya,61.89
4/9/2022,bundaran_hi,61.3
4/9/2022,jagakarsa,73.35
4/9/2022,kebun_jeruk,71.45
4/9/2022,kelapa_gading,51.46
4/9/2022,lubang_buaya,62.75
4/10/2022,bundaran_hi,80.55
4/10/2022,jagakarsa,95.4
4/10/2022,kebun_jeruk,104.25
4/10/2022,kelapa_gading,75.89
4/10/2022,lubang_buaya,95.75
4/11/2022,bundaran_hi,69.95
4/11/2022,jagakarsa,90.19
4/11/2022,kebun_jeruk,83.76
4/11/2022,kelapa_gading,69.4
4/11/2022,lubang_buaya,84.86
4/12/2022,bundaran_hi,82.95
4/12/2022,jagakarsa,94.24
4/12/2022,kebun_jeruk,100.67
4/12/2022,kelapa_gading,69.52
4/12/2022,lubang_buaya,94.57
4/13/2022,bundaran_hi,96.94
4/13/2022,jagakarsa,105
4/13/2022,kebun_jeruk,109.12
4/13/2022,kelapa_gading,84.59
4/13/2022,lubang_buaya,103.47
4/14/2022,bundaran_hi,79.33
4/14/2022,jagakarsa,84.67
4/14/2022,kebun_jeruk,86.62
4/14/2022,kelapa_gading,81.79
4/14/2022,lubang_buaya,86.05
4/15/2022,bundaran_hi,72.3
4/15/2022,jagakarsa,82.4
4/15/2022,kebun_jeruk,89.15
4/15/2022,kelapa_gading,62.49
4/15/2022,lubang_buaya,78.4
4/16/2022,bundaran_hi,76.85
4/16/2022,jagakarsa,98.15
4/16/2022,kebun_jeruk,98.9
4/16/2022,kelapa_gading,72.89
4/16/2022,lubang_buaya,78.5
4/17/2022,bundaran_hi,99.37
4/17/2022,jagakarsa,109.16
4/17/2022,kebun_jeruk,109.89
4/17/2022,kelapa_gading,84.96
4/17/2022,lubang_buaya,98.16
4/18/2022,bundaran_hi,70.58
4/18/2022,jagakarsa,97
4/18/2022,kebun_jeruk,82.53
4/18/2022,kelapa_gading,61.31
4/18/2022,lubang_buaya,72.05
4/19/2022,bundaran_hi,56.47
4/19/2022,jagakarsa,58.89
4/19/2022,kebun_jeruk,72.74
4/19/2022,kelapa_gading,37.67
4/19/2022,lubang_buaya,57.79
4/20/2022,bundaran_hi,68.63
4/20/2022,jagakarsa,81.47
4/20/2022,kebun_jeruk,82.95
4/20/2022,kelapa_gading,14.02
4/20/2022,lubang_buaya,73.47
4/21/2022,bundaran_hi,51.25
4/21/2022,jagakarsa,2.55
4/21/2022,kebun_jeruk,58.85
4/21/2022,kelapa_gading,53.35
4/21/2022,lubang_buaya,56.3
4/22/2022,bundaran_hi,84.5
4/22/2022,jagakarsa,87.5
4/22/2022,kebun_jeruk,99.4
4/22/2022,kelapa_gading,71.48
4/22/2022,lubang_buaya,98.25
4/23/2022,bundaran_hi,67.6
4/23/2022,jagakarsa,72.5
4/23/2022,kebun_jeruk,84.25
4/23/2022,kelapa_gading,73.3
4/23/2022,lubang_buaya,78.1
4/24/2022,bundaran_hi,77.5
4/24/2022,jagakarsa,90.5
4/24/2022,kebun_jeruk,101.35
4/24/2022,kelapa_gading,67.57
4/24/2022,lubang_buaya,72.5
4/25/2022,bundaran_hi,69.24
4/25/2022,jagakarsa,79.62
4/25/2022,kebun_jeruk,79.24
4/25/2022,kelapa_gading,61.2
4/25/2022,lubang_buaya,71.76
4/26/2022,bundaran_hi,64.3
4/26/2022,jagakarsa,64.3
4/26/2022,kebun_jeruk,68.15
4/26/2022,kelapa_gading,62.52
4/26/2022,lubang_buaya,74.15
4/27/2022,bundaran_hi,55.57
4/27/2022,jagakarsa,68.76
4/27/2022,kebun_jeruk,67.24
4/27/2022,kelapa_gading,50.88
4/27/2022,lubang_buaya,54.67
4/28/2022,bundaran_hi,35.43
4/28/2022,jagakarsa,51.71
4/28/2022,kebun_jeruk,51
4/28/2022,kelapa_gading,36.55
4/28/2022,lubang_buaya,24.86
4/29/2022,bundaran_hi,27.86
4/29/2022,jagakarsa,52.86
4/29/2022,kebun_jeruk,43.62
4/29/2022,kelapa_gading,21.34
4/29/2022,lubang_buaya,18.48
4/30/2022,bundaran_hi,45.45
4/30/2022,jagakarsa,68.55
4/30/2022,kebun_jeruk,56
4/30/2022,kelapa_gading,26.55
4/30/2022,lubang_buaya,54.95
5/1/2022,bundaran_hi,69.9
5/1/2022,jagakarsa,92.45
5/1/2022,kebun_jeruk,98.5
5/1/2022,kelapa_gading,57.61
5/1/2022,lubang_buaya,69.5
5/2/2022,bundaran_hi,70.35
5/2/2022,jagakarsa,84.7
5/2/2022,kebun_jeruk,88.9
5/2/2022,kelapa_gading,65.12
5/2/2022,lubang_buaya,30
5/3/2022,bundaran_hi,47.67
5/3/2022,jagakarsa,51.94
5/3/2022,kebun_jeruk,61.61
5/3/2022,kelapa_gading,50.04
5/3/2022,lubang_buaya,52.83
5/4/2022,bundaran_hi,53.63
5/4/2022,jagakarsa,72.74
5/4/2022,kebun_jeruk,66.05
5/4/2022,kelapa_gading,44.02
5/4/2022,lubang_buaya,55
5/5/2022,bundaran_hi,54.55
5/5/2022,jagakarsa,72.1
5/5/2022,kebun_jeruk,69.35
5/5/2022,kelapa_gading,51.15
5/5/2022,lubang_buaya,58.45
5/6/2022,bundaran_hi,39.4
5/6/2022,jagakarsa,59.05
5/6/2022,kebun_jeruk,58.95
5/6/2022,kelapa_gading,38.3
5/6/2022,lubang_buaya,48.6
5/7/2022,bundaran_hi,54.71
5/7/2022,jagakarsa,84.48
5/7/2022,kebun_jeruk,79.48
5/7/2022,kelapa_gading,37.63
5/7/2022,lubang_buaya,57.95
5/8/2022,bundaran_hi,53.56
5/8/2022,jagakarsa,94.94
5/8/2022,kebun_jeruk,67
5/8/2022,kelapa_gading,52.94
5/8/2022,lubang_buaya,53.33
5/9/2022,bundaran_hi,57.55
5/9/2022,jagakarsa,66.75
5/9/2022,kebun_jeruk,64.65
5/9/2022,kelapa_gading,48.96
5/9/2022,lubang_buaya,67.4
5/10/2022,bundaran_hi,59.35
5/10/2022,jagakarsa,69.9
5/10/2022,kebun_jeruk,73.85
5/10/2022,kelapa_gading,54.51
5/10/2022,lubang_buaya,66.65
